Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 3.566E+03 3.563E+03 
1.500E-03 1.243E+03 1.240E+03 
2.000E-03 5.776E+02 5.749E+02 
2.822E-03 2.273E+02 2.250E+02 
2.822E-03 1.159E+03 1.157E+03 
3.000E-03 1.038E+03 1.035E+03 
4.000E-03 4.936E+02 4.918E+02 
4.038E-03 4.809E+02 4.791E+02 
4.038E-03 8.076E+02 8.058E+02 
5.000E-03 4.668E+02 4.653E+02 
6.000E-03 2.871E+02 2.858E+02 
8.000E-03 1.310E+02 1.300E+02 
1.000E-02 7.031E+01 6.951E+01 
1.500E-02 2.216E+01 2.167E+01 
2.000E-02 9.661E+00 9.334E+00 
3.000E-02 3.023E+00 2.848E+00 
4.000E-02 1.374E+00 1.263E+00 
5.000E-02 7.824E-01 7.056E-01 
6.000E-02 5.183E-01 4.620E-01 
8.000E-02 3.043E-01 2.705E-01 
1.000E-01 2.238E-01 2.014E-01 
1.500E-01 1.550E-01 1.445E-01 
2.000E-01 1.305E-01 1.245E-01 
3.000E-01 1.076E-01 1.049E-01 
4.000E-01 9.482E-02 9.326E-02 
5.000E-01 8.597E-02 8.497E-02 
6.000E-01 7.923E-02 7.853E-02 
8.000E-01 6.933E-02 6.893E-02 
1.000E+00 6.222E-02 6.197E-02 
1.022E+00 6.155E-02 6.131E-02 
1.250E+00 5.561E-02 5.545E-02 
1.500E+00 5.071E-02 5.060E-02 
2.000E+00 4.399E-02 4.392E-02 
2.044E+00 4.354E-02 4.348E-02 
3.000E+00 3.656E-02 3.653E-02 
4.000E+00 3.263E-02 3.262E-02 
5.000E+00 3.029E-02 3.028E-02 
6.000E+00 2.883E-02 2.883E-02 
7.000E+00 2.788E-02 2.787E-02 
8.000E+00 2.724E-02 2.723E-02 
9.000E+00 2.681E-02 2.681E-02 
1.000E+01 2.653E-02 2.653E-02 
1.100E+01 2.635E-02 2.635E-02 
1.200E+01 2.624E-02 2.624E-02 
1.300E+01 2.619E-02 2.618E-02 
1.400E+01 2.618E-02 2.618E-02 
1.500E+01 2.620E-02 2.620E-02 
1.600E+01 2.625E-02 2.625E-02 
1.800E+01 2.640E-02 2.639E-02 
2.000E+01 2.659E-02 2.658E-02 
